poll_id,date,pollster,state,method,voter_type,sample_size,margin_of_error,harris_pct,trump_pct,undecided
1,2024-01-12,Emerson,NV,Mixed,LV,1080,3,44.7,50.5,4.8
2,2024-01-15,Emerson,AZ,Mixed,LV,931,3.2,49.5,44.7,5.8
3,2024-01-17,YouGov,MI,Online,RV,969,3.1,53.7,42.3,4
4,2024-01-19,Siena College,MI,Phone,LV,961,3.2,51,45.5,3.5
5,2024-01-19,Emerson,PA,Mixed,RV,1032,3.1,52.1,46.8,1.1
6,2024-01-19,RMG Research,NAT,Mixed,RV,1033,3,46.7,48.2,5.1
7,2024-01-20,RMG Research,WI,Mixed,RV,847,3.4,48.2,45,6.8
8,2024-01-25,Siena College,AZ,Phone,RV,917,3.2,49.3,44.2,6.5
9,2024-01-26,Emerson,NV,Mixed,RV,1095,3,47.6,48.1,4.3
10,2024-01-27,Emerson,NV,Mixed,RV,1014,3.1,44.5,49.9,5.7
11,2024-01-27,Morning Consult,PA,Online,RV,1022,3.1,50,45.2,4.8
12,2024-01-27,Siena College,NAT,Phone,RV,940,3.2,48.7,45.4,6
13,2024-01-28,Morning Consult,NAT,Online,RV,894,3.3,49.2,45.6,5.2
14,2024-01-29,Emerson,NAT,Mixed,RV,831,3.4,48.5,47,4.5
15,2024-01-29,Siena College,NAT,Phone,RV,1010,3.1,42.9,49.1,8
16,2024-01-30,Emerson,AZ,Mixed,RV,1035,3,48.5,43.9,7.6
17,2024-01-30,Siena College,NV,Phone,RV,1195,2.8,45.2,50.2,4.6
18,2024-02-01,Emerson,PA,Mixed,RV,1126,2.9,50.5,45.2,4.3
19,2024-02-01,Morning Consult,GA,Online,RV,893,3.3,50,42.6,7.4
20,2024-02-04,Siena College,PA,Phone,LV,1003,3.1,47.3,48.1,4.6
21,2024-02-09,Siena College,MI,Phone,RV,1079,3,51.3,46.7,2
22,2024-02-11,Siena College,GA,Phone,LV,1035,3,42.9,47.8,9.3
23,2024-02-12,RMG Research,MI,Mixed,LV,1038,3,50.2,47.8,2
24,2024-02-13,Siena College,GA,Phone,RV,954,3.2,47.6,47.5,4.8
25,2024-02-13,Siena College,MI,Phone,RV,1028,3.1,50.2,46,3.8
26,2024-02-16,Morning Consult,MI,Online,RV,963,3.2,49.1,48.8,2.1
27,2024-02-17,Emerson,PA,Mixed,RV,899,3.3,45.8,46.9,7.3
28,2024-02-18,Siena College,NAT,Phone,LV,909,3.3,47.6,45.5,6.9
29,2024-02-19,Siena College,PA,Phone,RV,1072,3,47.2,44.7,8.2
30,2024-02-20,YouGov,WI,Online,RV,1080,3,52,43.5,4.5
31,2024-02-21,YouGov,NAT,Online,RV,1109,2.9,48.3,50.5,1.2
32,2024-02-21,RMG Research,NAT,Mixed,RV,875,3.3,47.6,48.5,3.9
33,2024-02-23,Siena College,AZ,Phone,RV,1071,3,48.8,45,6.1
34,2024-02-24,Emerson,NAT,Mixed,RV,1176,2.9,49.7,45.3,5
35,2024-02-25,Morning Consult,NAT,Online,LV,980,3.1,47.9,45.6,6.5
36,2024-02-25,RMG Research,GA,Mixed,LV,1070,3,43.6,48.5,7.9
37,2024-02-26,RMG Research,GA,Mixed,LV,933,3.2,46.4,49.1,4.6
38,2024-02-27,RMG Research,NV,Mixed,LV,1016,3.1,46.7,50.3,3
39,2024-02-28,RMG Research,AZ,Mixed,LV,1103,3,48.2,45.7,6
40,2024-02-29,Siena College,NV,Phone,RV,1030,3.1,49.9,47.2,2.9
41,2024-02-29,RMG Research,NAT,Mixed,RV,1002,3.1,49.6,46.5,3.9
42,2024-02-29,RMG Research,NAT,Mixed,RV,1001,3.1,51.3,48.7,0.1
43,2024-02-29,RMG Research,WI,Mixed,RV,1029,3.1,47.6,48.3,4.1
44,2024-03-01,RMG Research,WI,Mixed,RV,915,3.2,45.9,47.5,6.6
45,2024-03-01,YouGov,GA,Online,LV,948,3.2,44.4,48.8,6.8
46,2024-03-02,Emerson,MI,Mixed,RV,1012,3.1,45.7,51,3.3
47,2024-03-04,Morning Consult,WI,Online,RV,845,3.4,48.3,47.6,4.2
48,2024-03-04,RMG Research,MI,Mixed,LV,947,3.2,47.6,44.7,7.7
49,2024-03-05,Emerson,PA,Mixed,RV,1251,2.8,44,51.1,5
50,2024-03-05,RMG Research,WI,Mixed,LV,1025,3.1,44.9,48.9,6.3
51,2024-03-06,RMG Research,MI,Mixed,RV,944,3.2,50.6,41.6,7.7
52,2024-03-06,Morning Consult,NAT,Online,RV,1129,2.9,44.4,55,0.6
53,2024-03-07,RMG Research,MI,Mixed,LV,911,3.2,49.2,46.7,4.1
54,2024-03-07,Morning Consult,WI,Online,RV,1011,3.1,47.6,48.7,3.7
55,2024-03-08,YouGov,NAT,Online,RV,1137,2.9,45.5,51.2,3.3
56,2024-03-11,YouGov,MI,Online,LV,1105,2.9,50.8,46.3,2.9
57,2024-03-11,Siena College,NAT,Phone,LV,1051,3,46.7,47.5,5.7
58,2024-03-11,RMG Research,GA,Mixed,RV,1027,3.1,50.7,45.8,3.5
59,2024-03-12,Siena College,GA,Phone,LV,917,3.2,47.7,44.7,7.6
60,2024-03-12,YouGov,WI,Online,RV,933,3.2,41.2,54,4.7
61,2024-03-13,Emerson,GA,Mixed,RV,1065,3,45.9,50,4.1
62,2024-03-13,RMG Research,MI,Mixed,RV,1167,2.9,50,48,2
63,2024-03-13,Morning Consult,WI,Online,LV,1014,3.1,46.8,49.7,3.6
64,2024-03-13,YouGov,NAT,Online,LV,1107,2.9,48.7,48,3.3
65,2024-03-13,Siena College,PA,Phone,RV,907,3.3,50.3,47.1,2.6
66,2024-03-15,RMG Research,MI,Mixed,LV,987,3.1,47.1,47.5,5.5
67,2024-03-16,YouGov,NAT,Online,RV,929,3.2,52.4,40.7,6.9
68,2024-03-16,RMG Research,PA,Mixed,RV,1089,3,50.6,43,6.4
69,2024-03-16,YouGov,PA,Online,RV,928,3.2,49.9,46.2,3.9
70,2024-03-17,Siena College,MI,Phone,RV,999,3.1,50.1,42.1,7.8
71,2024-03-17,Emerson,MI,Mixed,RV,1043,3,45.2,52.5,2.3
72,2024-03-17,Siena College,NAT,Phone,RV,1073,3,48.3,50.6,1
73,2024-03-18,Morning Consult,AZ,Online,RV,1002,3.1,45.5,47.3,7.3
74,2024-03-19,Morning Consult,PA,Online,RV,938,3.2,50.6,44.9,4.5
75,2024-03-20,Morning Consult,WI,Online,RV,808,3.4,45,50.8,4.2
76,2024-03-20,YouGov,MI,Online,LV,935,3.2,49.6,46.7,3.7
77,2024-03-21,Morning Consult,AZ,Online,LV,1066,3,49.2,49.4,1.4
78,2024-03-21,Emerson,NV,Mixed,RV,1051,3,48.9,43.7,7.4
79,2024-03-22,Morning Consult,PA,Online,RV,988,3.1,49.4,43.1,7.5
80,2024-03-23,Morning Consult,GA,Online,RV,992,3.1,46.2,48.6,5.2
81,2024-03-23,RMG Research,WI,Mixed,LV,983,3.1,50,43.6,6.4
82,2024-03-23,Siena College,NV,Phone,RV,909,3.3,45.5,50.5,3.9
83,2024-03-24,Morning Consult,NV,Online,LV,863,3.3,43.8,50.6,5.7
84,2024-03-24,YouGov,AZ,Online,RV,941,3.2,45.3,48.5,6.2
85,2024-03-27,Morning Consult,GA,Online,RV,982,3.1,47.7,46.7,5.6
86,2024-03-27,YouGov,GA,Online,LV,1023,3.1,43.1,50.8,6
87,2024-03-27,Morning Consult,AZ,Online,RV,1063,3,50.2,43.9,5.9
88,2024-03-27,RMG Research,NV,Mixed,RV,935,3.2,47.7,47.9,4.4
89,2024-03-27,Morning Consult,PA,Online,RV,1070,3,50.1,49.1,0.8
90,2024-03-29,Morning Consult,GA,Online,RV,929,3.2,50.7,47.3,2
91,2024-03-29,Siena College,NAT,Phone,LV,984,3.1,44.9,49.2,5.9
92,2024-03-30,Morning Consult,WI,Online,RV,1086,3,45.7,44.7,9.6
93,2024-03-30,YouGov,PA,Online,RV,1056,3,49.3,46.4,4.3
94,2024-03-30,RMG Research,NAT,Mixed,RV,1007,3.1,48.7,46.3,5
95,2024-03-31,YouGov,MI,Online,RV,988,3.1,46.9,49.2,3.9
96,2024-03-31,YouGov,AZ,Online,LV,1186,2.8,44.5,48.5,7
97,2024-03-31,Siena College,NV,Phone,RV,939,3.2,49,44.8,6.3
98,2024-04-01,RMG Research,MI,Mixed,RV,1012,3.1,48.2,48.2,3.5
99,2024-04-01,Siena College,PA,Phone,RV,1146,2.9,46.6,49.5,3.9
100,2024-04-02,RMG Research,NV,Mixed,LV,1041,3,47.5,49.3,3.2
101,2024-04-02,Emerson,MI,Mixed,LV,976,3.1,48,46.4,5.6
102,2024-04-03,YouGov,PA,Online,RV,971,3.1,47.9,46.3,5.9
103,2024-04-04,RMG Research,PA,Mixed,LV,962,3.2,49.5,44.2,6.3
104,2024-04-05,Morning Consult,AZ,Online,RV,939,3.2,50.3,45.2,4.5
105,2024-04-05,RMG Research,GA,Mixed,RV,1012,3.1,52.6,44.8,2.6
106,2024-04-05,RMG Research,NAT,Mixed,LV,1052,3,44,48.1,7.9
107,2024-04-05,RMG Research,PA,Mixed,LV,874,3.3,46,48.8,5.2
108,2024-04-06,RMG Research,PA,Mixed,RV,872,3.3,45.8,47,7.2
109,2024-04-06,YouGov,WI,Online,RV,1023,3.1,49.2,47.2,3.6
110,2024-04-06,YouGov,MI,Online,LV,1042,3,47.6,46.4,5.9
111,2024-04-06,Morning Consult,PA,Online,RV,1049,3,47.7,42.8,9.6
112,2024-04-06,RMG Research,WI,Mixed,RV,1067,3,49.9,45,5.1
113,2024-04-07,Siena College,NAT,Phone,RV,868,3.3,51.4,43.8,4.7
114,2024-04-08,Siena College,NAT,Phone,RV,1041,3,47.4,47.8,4.8
115,2024-04-08,Siena College,PA,Phone,RV,1015,3.1,44.2,48.4,7.4
116,2024-04-08,YouGov,NV,Online,RV,1061,3,46.4,50.4,3.1
117,2024-04-09,Morning Consult,GA,Online,RV,1068,3,48,46.1,5.9
118,2024-04-10,Morning Consult,GA,Online,RV,1073,3,46.6,49.4,4
119,2024-04-11,Morning Consult,AZ,Online,LV,1021,3.1,48.1,45.3,6.5
120,2024-04-11,YouGov,NV,Online,RV,874,3.3,49.5,46.2,4.3
121,2024-04-12,RMG Research,WI,Mixed,LV,1147,2.9,44.7,47.8,7.5
122,2024-04-12,Siena College,NAT,Phone,RV,872,3.3,48.2,48.9,3
123,2024-04-13,Emerson,NV,Mixed,RV,1108,2.9,47.4,47.2,5.3
124,2024-04-14,YouGov,NAT,Online,RV,930,3.2,53.2,42.5,4.3
125,2024-04-14,Siena College,NAT,Phone,RV,910,3.2,45.1,50,4.9
126,2024-04-15,Emerson,NAT,Mixed,LV,827,3.4,49,43,8
127,2024-04-15,Morning Consult,MI,Online,LV,1016,3.1,46.3,48.7,5
128,2024-04-15,Emerson,PA,Mixed,RV,1016,3.1,45.1,48.6,6.3
129,2024-04-15,Siena College,PA,Phone,RV,1156,2.9,50.6,47.5,1.9
130,2024-04-16,Emerson,AZ,Mixed,RV,973,3.1,45.3,49.2,5.5
131,2024-04-16,Morning Consult,GA,Online,RV,1026,3.1,46.6,48.7,4.6
132,2024-04-17,Siena College,AZ,Phone,LV,1030,3.1,50.5,44.6,4.8
133,2024-04-17,Emerson,NAT,Mixed,RV,861,3.3,44.9,49.4,5.6
134,2024-04-17,YouGov,AZ,Online,RV,946,3.2,48.7,48.1,3.1
135,2024-04-17,YouGov,MI,Online,RV,905,3.3,51.5,41.7,6.8
136,2024-04-17,Morning Consult,NV,Online,LV,951,3.2,48,49.6,2.4
137,2024-04-18,Morning Consult,NV,Online,RV,1058,3,44.6,53.6,1.8
138,2024-04-18,Siena College,NV,Phone,RV,954,3.2,51.2,45.1,3.7
139,2024-04-19,YouGov,PA,Online,RV,955,3.2,52.1,43.6,4.4
140,2024-04-19,Morning Consult,AZ,Online,RV,1157,2.9,50.8,43.1,6.1
141,2024-04-19,Siena College,WI,Phone,LV,920,3.2,50.5,44.5,5
142,2024-04-20,Emerson,GA,Mixed,RV,760,3.6,48.7,44.7,6.6
143,2024-04-20,YouGov,NV,Online,RV,1081,3,43.8,48.7,7.5
144,2024-04-21,Morning Consult,NAT,Online,LV,971,3.1,46.7,49.1,4.1
145,2024-04-22,Siena College,MI,Phone,LV,942,3.2,52.8,41.9,5.3
146,2024-04-22,Siena College,AZ,Phone,LV,931,3.2,46,52,2
147,2024-04-22,Siena College,MI,Phone,LV,1043,3,45.8,45.9,8.3
148,2024-04-23,Emerson,MI,Mixed,RV,1010,3.1,48.1,48.2,3.7
149,2024-04-24,Morning Consult,WI,Online,RV,1122,2.9,51,42.8,6.2
150,2024-04-24,Emerson,NAT,Mixed,RV,1039,3,47.1,44.7,8.3
151,2024-04-25,Emerson,NAT,Mixed,RV,1095,3,48.2,47.1,4.6
152,2024-04-25,YouGov,GA,Online,RV,1219,2.8,45.4,51.5,3.1
153,2024-04-25,YouGov,PA,Online,RV,1160,2.9,50.6,41.3,8.1
154,2024-04-25,Emerson,WI,Mixed,LV,952,3.2,46.2,45.5,8.3
155,2024-04-26,YouGov,NAT,Online,RV,795,3.5,52.5,45.9,1.6
156,2024-04-26,Siena College,NAT,Phone,LV,934,3.2,48.7,47.5,3.8
157,2024-04-27,YouGov,AZ,Online,LV,1242,2.8,48.5,49.3,2.3
158,2024-04-27,Siena College,NAT,Phone,RV,1007,3.1,49.5,45.8,4.7
159,2024-04-28,Emerson,PA,Mixed,RV,1100,3,44.3,47.7,8
160,2024-04-28,YouGov,PA,Online,RV,830,3.4,51.4,44.9,3.7
161,2024-04-28,Morning Consult,PA,Online,RV,871,3.3,50.7,46.7,2.6
162,2024-04-28,RMG Research,GA,Mixed,RV,1023,3.1,49,45.8,5.1
163,2024-04-28,RMG Research,NAT,Mixed,RV,930,3.2,48.5,47.9,3.5
164,2024-04-29,RMG Research,AZ,Mixed,RV,994,3.1,46.6,49.9,3.5
165,2024-04-29,Emerson,AZ,Mixed,RV,866,3.3,46.3,45.6,8.2
166,2024-04-29,YouGov,NAT,Online,RV,1022,3.1,52.4,42.9,4.7
167,2024-04-29,Emerson,GA,Mixed,RV,1050,3,45.7,50.6,3.7
168,2024-04-29,YouGov,PA,Online,RV,1175,2.9,50.4,42.8,6.9
169,2024-04-29,Morning Consult,NV,Online,RV,873,3.3,44,46,10.1
170,2024-04-29,Siena College,NAT,Phone,RV,862,3.3,45.7,49,5.3
171,2024-04-30,Emerson,MI,Mixed,LV,1014,3.1,45.8,47.1,7.1
172,2024-04-30,RMG Research,NAT,Mixed,RV,952,3.2,48.3,51.3,0.4
173,2024-05-01,YouGov,MI,Online,RV,1070,3,49.1,46.7,4.2
174,2024-05-01,Siena College,NAT,Phone,LV,981,3.1,48.3,48.1,3.6
175,2024-05-01,RMG Research,GA,Mixed,RV,959,3.2,47.8,50.7,1.6
176,2024-05-02,RMG Research,NAT,Mixed,LV,1214,2.8,45.8,50.6,3.6
177,2024-05-02,YouGov,GA,Online,LV,790,3.5,46.2,48,5.8
178,2024-05-02,Siena College,NAT,Phone,RV,876,3.3,51.4,44.1,4.4
179,2024-05-02,Siena College,WI,Phone,RV,1020,3.1,49.2,48.6,2.2
180,2024-05-03,Siena College,AZ,Phone,RV,903,3.3,51.9,44.3,3.8
181,2024-05-05,YouGov,WI,Online,RV,1046,3,49.9,45,5.1
182,2024-05-05,Emerson,AZ,Mixed,RV,1089,3,44.7,49,6.4
183,2024-05-06,Siena College,MI,Phone,RV,1014,3.1,47.5,47.2,5.3
184,2024-05-06,YouGov,MI,Online,RV,1151,2.9,54.7,43.3,2
185,2024-05-06,Emerson,NV,Mixed,RV,1037,3,44.4,50.2,5.4
186,2024-05-06,RMG Research,AZ,Mixed,LV,921,3.2,48.8,46.2,5.1
187,2024-05-06,YouGov,GA,Online,LV,778,3.5,44.3,48.1,7.6
188,2024-05-08,Siena College,NV,Phone,RV,1097,3,45.1,49.9,5.1
189,2024-05-08,Emerson,NAT,Mixed,LV,1022,3.1,43.9,48.8,7.2
190,2024-05-08,RMG Research,NAT,Mixed,LV,1130,2.9,48.1,48.1,3.8
191,2024-05-08,Emerson,MI,Mixed,RV,963,3.2,50.3,44,5.7
192,2024-05-09,Morning Consult,PA,Online,RV,1197,2.8,45.9,45.8,8.3
193,2024-05-09,Emerson,PA,Mixed,RV,1110,2.9,52.1,43,4.9
194,2024-05-09,Morning Consult,NV,Online,LV,699,3.7,45.4,51.4,3.2
195,2024-05-09,Siena College,WI,Phone,RV,1055,3,49.5,45.9,4.5
196,2024-05-09,Siena College,NV,Phone,RV,860,3.3,50.3,49.1,0.6
197,2024-05-10,YouGov,NAT,Online,LV,1041,3,46.3,48.2,5.5
198,2024-05-10,RMG Research,NV,Mixed,RV,1020,3.1,47.5,46.7,5.7
199,2024-05-11,RMG Research,PA,Mixed,RV,915,3.2,49.7,46.2,4.1
200,2024-05-12,YouGov,AZ,Online,RV,896,3.3,45,49.2,5.8
201,2024-05-12,Morning Consult,AZ,Online,RV,1025,3.1,48.8,48.1,3.1
202,2024-05-13,YouGov,NAT,Online,RV,1020,3.1,47.7,48.7,3.5
203,2024-05-13,Siena College,NAT,Phone,RV,1083,3,47.4,46.6,6
204,2024-05-14,Siena College,WI,Phone,RV,919,3.2,47.6,48.7,3.7
205,2024-05-14,RMG Research,NAT,Mixed,RV,932,3.2,50.8,42.7,6.6
206,2024-05-14,Emerson,GA,Mixed,LV,1119,2.9,47.4,48,4.6
207,2024-05-14,Siena College,NV,Phone,RV,973,3.1,45.3,52.8,2
208,2024-05-14,Morning Consult,MI,Online,RV,1002,3.1,45.1,44.3,10.6
209,2024-05-15,RMG Research,GA,Mixed,LV,1100,3,45.8,47.7,6.5
210,2024-05-15,Morning Consult,NAT,Online,RV,944,3.2,42.3,50.1,7.6
211,2024-05-15,Emerson,PA,Mixed,RV,973,3.1,53.8,44.7,1.5
212,2024-05-15,Morning Consult,NAT,Online,RV,1055,3,48.8,43.9,7.3
213,2024-05-16,RMG Research,NAT,Mixed,RV,897,3.3,49.5,45,5.5
214,2024-05-16,RMG Research,NAT,Mixed,RV,980,3.1,48.4,46.3,5.3
215,2024-05-16,Siena College,PA,Phone,LV,914,3.2,44.9,48.6,6.6
216,2024-05-16,Morning Consult,NV,Online,RV,1111,2.9,48,49.8,2.2
217,2024-05-16,RMG Research,WI,Mixed,LV,1023,3.1,47.1,45.8,7.1
218,2024-05-17,Siena College,NAT,Phone,RV,1004,3.1,46.7,50.5,2.8
219,2024-05-17,YouGov,MI,Online,LV,948,3.2,51.3,42.6,6.1
220,2024-05-17,RMG Research,NAT,Mixed,RV,1137,2.9,47.1,52.3,0.7
221,2024-05-17,Emerson,NAT,Mixed,RV,1048,3,47.7,47.3,5
222,2024-05-18,Morning Consult,WI,Online,RV,1029,3.1,49.1,47.6,3.3
223,2024-05-18,Emerson,AZ,Mixed,RV,1118,2.9,47.2,48.3,4.6
224,2024-05-18,RMG Research,WI,Mixed,LV,1060,3,46.4,48.1,5.5
225,2024-05-18,YouGov,NV,Online,RV,1076,3,46.1,50,3.9
226,2024-05-18,YouGov,GA,Online,RV,1057,3,47.1,49.6,3.3
227,2024-05-18,Emerson,GA,Mixed,RV,1097,3,47.7,48,4.4
228,2024-05-19,Emerson,GA,Mixed,RV,922,3.2,50.3,46.2,3.5
229,2024-05-19,RMG Research,NV,Mixed,RV,1029,3.1,45.7,51.2,3.1
230,2024-05-19,Siena College,AZ,Phone,LV,922,3.2,44.6,48.5,7
231,2024-05-20,RMG Research,NV,Mixed,RV,926,3.2,45.1,47,7.9
232,2024-05-21,RMG Research,PA,Mixed,RV,1029,3.1,48.7,47.4,3.9
233,2024-05-21,Emerson,WI,Mixed,LV,970,3.1,51.2,44.6,4.2
234,2024-05-22,Morning Consult,AZ,Online,LV,987,3.1,49.7,43.4,6.9
235,2024-05-22,Emerson,MI,Mixed,RV,1023,3.1,49.4,45.8,4.8
236,2024-05-22,Siena College,NV,Phone,LV,1004,3.1,46.4,48.9,4.7
237,2024-05-22,Emerson,NAT,Mixed,RV,993,3.1,45.6,49.2,5.2
238,2024-05-22,YouGov,WI,Online,RV,1053,3,46.1,46.8,7.1
239,2024-05-23,RMG Research,WI,Mixed,RV,1081,3,49.9,47.8,2.3
240,2024-05-23,RMG Research,NAT,Mixed,RV,1008,3.1,45,49.2,5.8
241,2024-05-23,RMG Research,AZ,Mixed,RV,935,3.2,45.4,49.6,5
242,2024-05-23,RMG Research,MI,Mixed,RV,1042,3,46.8,46.5,6.7
243,2024-05-23,Morning Consult,NAT,Online,RV,1101,3,48.5,46.3,5.2
244,2024-05-25,YouGov,AZ,Online,LV,1040,3,43.4,52.2,4.4
245,2024-05-25,Emerson,MI,Mixed,RV,875,3.3,47.9,47,5.1
246,2024-05-26,Emerson,NAT,Mixed,LV,1047,3,46.2,46.9,6.9
247,2024-05-26,Morning Consult,NAT,Online,RV,1109,2.9,44.9,49.4,5.7
248,2024-05-26,RMG Research,GA,Mixed,RV,1220,2.8,47,46.1,7
249,2024-05-27,Morning Consult,WI,Online,RV,779,3.5,48.6,45,6.4
